event_type,year,mean,q05,q95,n
Advertisements,1976,21.5,19.25,23.75,2
Advertisements,1980,21.5,20.15,22.85,2
Advertisements,1982,23.166666666666668,21.0,26.5,6
Advertisements,1983,23.444444444444443,16.8,30.0,9
Advertisements,1984,24.22222222222222,20.6,27.0,9
Advertisements,1985,22.0,16.5,28.0,6
Advertisements,1986,19.157894736842106,15.7,29.0,19
Advertisements,1987,21.07894736842105,18.0,31.15,38
Advertisements,1988,21.136363636363637,18.0,27.0,44
Advertisements,1989,22.63888888888889,18.25,32.0,36
Advertisements,1990,21.719298245614034,17.0,29.0,57
Advertisements,1991,22.91176470588235,18.0,28.949999999999996,68
Advertisements,1992,22.8,18.0,27.0,70
Advertisements,1993,23.54,19.0,28.0,100
Advertisements,1994,23.858823529411765,18.2,28.799999999999997,85
Advertisements,1995,23.98913043478261,15.55,30.0,92
Advertisements,1996,22.655172413793103,16.0,29.799999999999983,145
Advertisements,1997,22.99390243902439,17.0,29.849999999999994,164
Advertisements,1998,23.034965034965033,17.0,29.0,143
Advertisements,1999,22.375,17.0,30.0,144
Advertisements,2000,22.92763157894737,17.55,31.0,152
Advertisements,2001,23.904761904761905,17.3,32.0,147
Advertisements,2002,24.713375796178344,18.0,33.0,157
Advertisements,2003,24.90728476821192,18.5,33.0,151
Advertisements,2004,25.13215859030837,17.0,39.0,227
Advertisements,2005,24.156118143459917,17.8,35.19999999999999,237
Advertisements,2006,25.117845117845118,18.0,37.0,297
Advertisements,2007,25.282913165266105,18.0,37.0,357
Advertisements,2008,25.775335775335776,18.0,38.0,819
Advertisements,2009,25.440212577502216,18.0,39.0,1129
Advertisements,2010,25.520648967551622,18.0,40.0,1356
Advertisements,2011,25.565191740412978,18.0,38.0,1695
Advertisements,2012,25.764676616915423,18.0,39.0,2010
Advertisements,2013,26.222371364653245,19.0,40.0,2235
Advertisements,2014,26.810578661844485,19.0,40.0,2212
Advertisements,2015,27.005759858218873,19.0,41.0,2257
Advertisements,2016,26.796764827872252,19.0,41.0,2411
Advertisements,2017,27.019941634241246,19.0,43.0,2056
Advertisements,2018,27.54057971014493,19.0,43.0,2070
Advertisements,2019,29.078662733529992,20.0,45.0,2034
Advertisements,2020,29.327929255711126,21.0,46.0,1357
Advertisements,2021,30.96945967110415,20.0,50.0,1277
Advertisements,2022,31.41376701966717,21.0,49.950000000000045,1322
Advertisements,2023,33.215121512151214,22.0,50.0,1111
Advertisements,2024,33.79765395894428,23.0,51.0,1023
Advertisements,2025,35.87257019438445,23.0,52.89999999999998,463
Editorials,1967,18.0,18.0,18.0,1
Editorials,1973,30.0,30.0,30.0,1
Editorials,1981,20.75,20.0,22.299999999999997,8
Editorials,1982,20.363636363636363,15.0,26.39999999999999,33
Editorials,1983,19.083333333333332,16.0,24.699999999999996,24
Editorials,1984,19.6,17.0,24.9,15
Editorials,1985,18.77777777777778,16.0,21.6,9
Editorials,1986,18.238805970149254,17.0,21.699999999999996,67
Editorials,1987,18.919354838709676,17.0,22.89999999999999,62
Editorials,1988,19.65277777777778,18.0,23.0,72
Editorials,1989,19.72340425531915,18.3,22.699999999999996,47
Editorials,1990,20.734939759036145,16.3,24.0,83
Editorials,1991,21.486725663716815,17.0,26.0,113
Editorials,1992,21.730964467005077,18.0,26.0,197
Editorials,1993,22.664670658682635,19.0,28.0,167
Editorials,1994,23.37226277372263,17.8,29.0,137
Editorials,1995,22.653543307086615,18.0,27.69999999999999,127
Editorials,1996,22.303797468354432,17.0,27.0,158
Editorials,1997,22.38860103626943,16.0,28.0,193
Editorials,1998,21.830434782608695,16.0,29.0,230
Editorials,1999,23.25945945945946,17.0,30.0,185
Editorials,2000,24.86394557823129,18.0,31.0,147
Editorials,2001,21.88995215311005,17.0,32.0,209
Editorials,2002,23.467692307692307,18.0,33.0,325
Editorials,2003,22.9675,17.0,33.049999999999955,400
Editorials,2004,21.70304568527919,17.0,31.0,394
Editorials,2005,22.09090909090909,17.0,32.049999999999955,440
Editorials,2006,22.79787234042553,16.75,36.25,376
Editorials,2007,23.09153713298791,17.0,37.0,579
Editorials,2008,23.68522483940043,17.0,38.0,1401
Editorials,2009,23.966776045939294,17.0,39.0,2438
Editorials,2010,23.824136913543818,17.0,36.0,3389
Editorials,2011,23.532991672005124,17.0,34.0,4683
Editorials,2012,24.104837155521295,17.0,36.599999999999454,5189
Editorials,2013,24.679652232068214,18.0,38.0,5981
Editorials,2014,25.31746513038205,18.0,40.0,6596
Editorials,2015,25.046967043464416,18.0,38.0,6281
Editorials,2016,25.492558220977063,18.0,39.0,5711
Editorials,2017,26.412228796844182,18.0,42.0,5070
Editorials,2018,27.502203665042913,19.0,44.0,4311
Editorials,2019,28.59968017057569,20.0,46.0,3752
Editorials,2020,29.655563186813186,19.0,47.0,2912
Editorials,2021,30.432999523128277,20.0,48.0,2097
Editorials,2022,31.64654672083575,21.0,52.0,1723
Editorials,2023,35.265428400239664,22.0,57.0,1669
Editorials,2024,34.71761658031088,22.0,54.0,1544
Editorials,2025,35.79236641221374,23.0,55.0,655
Magazine Covers,1959,28.0,28.0,28.0,1
Magazine Covers,1962,23.0,23.0,23.0,1
Magazine Covers,1965,26.0,26.0,26.0,6
Magazine Covers,1966,23.0,17.0,27.0,10
Magazine Covers,1967,20.263157894736842,18.0,25.299999999999994,19
Magazine Covers,1968,25.833333333333332,21.0,29.0,18
Magazine Covers,1969,28.571428571428573,26.3,30.0,7
Magazine Covers,1970,23.0,23.0,23.0,1
Magazine Covers,1971,26.0,24.2,27.8,2
Magazine Covers,1972,27.5,23.9,29.0,4
Magazine Covers,1973,27.0,21.0,30.0,6
