event,variable,year,entropy
advertisements,bust,2000,2.028926
advertisements,bust,2001,2.201115
advertisements,bust,2002,2.307090
advertisements,bust,2003,2.206402
advertisements,bust,2004,2.382277
advertisements,bust,2005,2.255467
advertisements,bust,2006,2.390012
advertisements,bust,2007,2.437642
advertisements,bust,2008,2.382212
advertisements,bust,2009,2.453142
advertisements,bust,2010,2.627993
advertisements,bust,2011,2.580599
advertisements,bust,2012,2.595177
advertisements,bust,2013,2.644639
advertisements,bust,2014,2.661801
advertisements,bust,2015,2.772844
advertisements,bust,2016,2.846234
advertisements,bust,2017,2.789417
advertisements,bust,2018,2.876809
advertisements,bust,2019,2.877529
advertisements,bust,2020,2.911678
advertisements,bust,2021,3.034647
advertisements,bust,2022,3.025669
advertisements,bust,2023,2.977617
advertisements,bust,2024,3.007196
advertisements,ethnicity,2000,0.666280
advertisements,ethnicity,2001,0.654522
advertisements,ethnicity,2002,0.659924
advertisements,ethnicity,2003,0.681065
advertisements,ethnicity,2004,0.857272
advertisements,ethnicity,2005,0.778018
advertisements,ethnicity,2006,0.858596
advertisements,ethnicity,2007,0.811323
advertisements,ethnicity,2008,0.933300
advertisements,ethnicity,2009,1.060773
advertisements,ethnicity,2010,1.126305
advertisements,ethnicity,2011,1.010470
advertisements,ethnicity,2012,1.023504
advertisements,ethnicity,2013,1.057484
advertisements,ethnicity,2014,1.216718
advertisements,ethnicity,2015,1.295038
advertisements,ethnicity,2016,1.391390
advertisements,ethnicity,2017,1.532792
advertisements,ethnicity,2018,1.708912
advertisements,ethnicity,2019,1.762859
advertisements,ethnicity,2020,1.904709
advertisements,ethnicity,2021,2.049114
advertisements,ethnicity,2022,2.070821
advertisements,ethnicity,2023,2.094934
advertisements,ethnicity,2024,2.049965
advertisements,eyes,2000,1.992085
advertisements,eyes,2001,2.136748
advertisements,eyes,2002,2.265406
advertisements,eyes,2003,2.224647
advertisements,eyes,2004,2.265196
advertisements,eyes,2005,2.085534
advertisements,eyes,2006,2.063663
advertisements,eyes,2007,1.974445
advertisements,eyes,2008,2.163667
advertisements,eyes,2009,2.241865
advertisements,eyes,2010,2.311533
advertisements,eyes,2011,2.338790
advertisements,eyes,2012,2.354115
advertisements,eyes,2013,2.430107
advertisements,eyes,2014,2.437414
advertisements,eyes,2015,2.472760
advertisements,eyes,2016,2.446577
advertisements,eyes,2017,2.517655
advertisements,eyes,2018,2.507329
advertisements,eyes,2019,2.543487
advertisements,eyes,2020,2.507555
advertisements,eyes,2021,2.457849
advertisements,eyes,2022,2.504290
