year,coef,se,ci_lower,ci_upper,p_value,outcome,wald_p_value
2013,0.07246779825211534,0.08907513608235243,-0.10211946846929541,0.24705506497352608,0.4203804102182893,mean,0.8169076477527046
2014,-0.001542235084138628,0.07483026769003512,-0.14820955975660743,0.1451250895883302,0.9836522818505853,mean,0.8169076477527046
2015,0.022881805312029206,0.06026330857740804,-0.09523427949969054,0.14099789012374897,0.7060391237422541,mean,0.8169076477527046
2016,0.0,0.0,0.0,0.0,,mean,0.8169076477527046
2017,0.10974511981285962,0.08244898542865993,-0.051854891627313854,0.27134513125303306,0.19018172383359216,mean,0.8169076477527046
2018,-0.07549037942288978,0.06731569569118832,-0.20742914297761889,0.056448384131839335,0.2683252086378363,mean,0.8169076477527046
2019,-0.13998166334308335,0.055696708908894256,-0.24914721280451607,-0.030816113881650606,0.015788655775380127,mean,0.8169076477527046
2020,-0.02414717181929256,0.05337526850784512,-0.128762698094669,0.08046835445608387,0.653252349805425,mean,0.8169076477527046
2021,-0.12212064968139882,0.1486046003703548,-0.41338566640729424,0.16914436704449656,0.4157341759258837,mean,0.8169076477527046
2022,-0.17078022354358063,0.2558153808172433,-0.6721783699453776,0.3306179228582163,0.507961555254904,mean,0.8169076477527046
2013,0.007081337142422416,0.1663415618881177,-0.3189481241582882,0.33311079844313307,0.9662405310071962,q10,0.03780022982349416
2014,-0.26853533421569104,0.10436175966523016,-0.47308438315954215,-0.06398628527183992,0.013611653471781518,q10,0.03780022982349416
2015,-0.1939037014890922,0.09690438811421476,-0.3838363021929531,-0.003971100785231274,0.051732333208087386,q10,0.03780022982349416
2016,0.0,0.0,0.0,0.0,,q10,0.03780022982349416
2017,-0.3810813863844059,0.13694663497630305,-0.6494967909379599,-0.11266598183085197,0.007975998426732342,q10,0.03780022982349416
2018,-0.08803904922465881,0.13774322204052686,-0.35801576442409144,0.1819376659747738,0.5261135111235538,q10,0.03780022982349416
2019,-0.1885639830392611,0.06722207119354238,-0.3203192425786042,-0.05680872349991803,0.0075233822516560895,q10,0.03780022982349416
2020,-0.20798111198437955,0.06733156336294596,-0.33995097617575365,-0.07601124779300547,0.0035140220122490675,q10,0.03780022982349416
2021,0.04425375032140477,0.13763177989597355,-0.2255045382747034,0.31401203891751295,0.7493610692561306,q10,0.03780022982349416
2022,-0.21788302596276482,0.06877486554731067,-0.35268176243549376,-0.0830842894900359,0.0028234237415244857,q10,0.03780022982349416
2013,0.10179295017966848,0.10539799743224552,-0.10478712478753273,0.3083730251468697,0.3395469849682693,q25,0.5455817945412003
2014,-0.027637931337214542,0.05912796344448014,-0.1435287396883956,0.08825287701396653,0.6425555262308129,q25,0.5455817945412003
2015,-0.042659695578702514,0.07278631865551449,-0.1853208801435109,0.10000148898610588,0.5608757677520699,q25,0.5455817945412003
2016,0.0,0.0,0.0,0.0,,q25,0.5455817945412003
2017,0.04344258382847454,0.06978394984243771,-0.09333395786270338,0.18021912551965247,0.5368811407434522,q25,0.5455817945412003
2018,-0.003441379034824043,0.05236110292035209,-0.10606914075871414,0.09918638268906606,0.9479022208344621,q25,0.5455817945412003
2019,-0.1944658087597448,0.11229883956021441,-0.41457153429776505,0.02563991677827543,0.0904998520605034,q25,0.5455817945412003
2020,-0.06929341491577955,0.07164339550304014,-0.20971447010173822,0.07112764027017911,0.338853312274807,q25,0.5455817945412003
2021,0.34163310958902604,0.153611327974125,0.04055490675974105,0.642711312418311,0.031450407036418306,q25,0.5455817945412003
2022,-0.2062126240687538,0.055365679275758854,-0.31472935544924113,-0.09769589268826644,0.0005651356380695088,q25,0.5455817945412003
