measurement,metric,event_type,gender,trend,significant,p_value,z_score,sen_slope,sen_intercept,slope_ci_lower,slope_ci_upper,total_change,relative_change_percent,year_start,year_end,time_span_years,n_observations,label
bust-eu_clean,iqr,fashion_shows,female,no trend,False,0.787960326916374,0.2689601783181382,0.0,3.5,-0.025,0.038461538461538464,0.0,0.0,2000,2024,24,25,Bust Eu IQR - Fashion Shows (female)
bust-eu_clean,skewness,fashion_shows,female,increasing,True,1.6864601939392543e-06,4.787768506593367,0.05566686115143812,-0.29548220245697643,0.03675660357291014,0.09039547705921067,1.3360046676345148,418.34747984662266,2000,2024,24,25,Bust Eu SKEWNESS - Fashion Shows (female)
bust-eu_clean,kurtosis,fashion_shows,female,increasing,True,8.879022317387353e-08,5.348287746389663,0.155602151993265,-0.6624891605707031,0.09875877251583157,0.315220868500115,3.73445164783836,424.05508766990965,2000,2024,24,25,Bust Eu KURTOSIS - Fashion Shows (female)
bust-eu_clean,iqr,advertisements,female,increasing,True,3.028058544995993e-05,4.17134586065484,0.125,2.875,0.0,0.19230769230769232,3.0,60.0,2000,2024,24,25,Bust Eu IQR - Advertisements (female)
bust-eu_clean,skewness,advertisements,female,increasing,True,3.141766240499777e-07,5.114738063141206,0.1076607827867068,-0.6504479869688493,0.07808226258760712,0.12886272262840565,2.5838587868809633,244.24733182848516,2000,2024,24,25,Bust Eu SKEWNESS - Advertisements (female)
bust-eu_clean,kurtosis,advertisements,female,increasing,True,0.014195743882660095,2.4522716741087978,0.3268166096911543,-0.3800431734093568,0.09402804592845258,0.4744518398105871,7.843598632587703,139.99165549614557,2000,2024,24,25,Bust Eu KURTOSIS - Advertisements (female)
bust-eu_clean,iqr,magazine_covers,female,increasing,True,7.682297953337525e-08,5.3744354927497655,0.19230769230769232,2.1538461538461537,0.125,0.22727272727272727,4.615384615384616,92.3076923076923,2000,2024,24,25,Bust Eu IQR - Magazine Covers (female)
bust-eu_clean,skewness,magazine_covers,female,increasing,True,8.311885257850093e-07,4.927898316542441,0.06769436992111104,-0.4099659532590316,0.04858470484199155,0.08498409697925792,1.6246648781066648,836.8866620827538,2000,2024,24,25,Bust Eu SKEWNESS - Magazine Covers (female)
bust-eu_clean,kurtosis,magazine_covers,female,increasing,True,0.014195743882660095,2.4522716741087978,0.19614916092368778,0.47392427721947294,0.05383598703839063,0.3184406588191041,4.707579862168506,339.3056088681686,2000,2024,24,25,Bust Eu KURTOSIS - Magazine Covers (female)
bust-eu_clean,iqr,editorials,female,increasing,True,0.0002587040921917527,3.653485809723712,0.11237373737373738,2.6515151515151514,0.0,0.15,2.6969696969696972,67.42424242424244,2000,2024,24,25,Bust Eu IQR - Editorials (female)
bust-eu_clean,skewness,editorials,female,increasing,True,7.913997769493086e-05,3.946989646898922,0.09456078317241237,-0.4823060774800876,0.06428689862147682,0.12333572770137517,2.269458796137897,189.04402700571586,2000,2024,24,25,Bust Eu SKEWNESS - Editorials (female)
bust-eu_clean,kurtosis,editorials,female,increasing,True,0.029854753709825932,2.1720120542106494,0.32979592742560826,-0.1890195177067273,0.04523960818352535,0.5204644108050703,7.915102258214598,130.84116363347957,2000,2024,24,25,Bust Eu KURTOSIS - Editorials (female)
waist-eu_clean,iqr,fashion_shows,female,no trend,False,0.218646072172747,1.230136290870913,0.0,2.0,0.0,0.03333333333333333,0.0,0.0,2000,2024,24,25,Waist Eu IQR - Fashion Shows (female)
waist-eu_clean,skewness,fashion_shows,female,increasing,True,0.0018950157955626157,3.106210787204477,0.13614104868486157,0.2075511800766504,0.05456509073626117,0.1839768993149749,3.267385168436678,236.13683050652295,2000,2024,24,25,Waist Eu SKEWNESS - Fashion Shows (female)
waist-eu_clean,kurtosis,fashion_shows,female,increasing,True,0.0009910666009620428,3.2930505338032425,0.6836411836940561,2.8064272639131276,0.3001865339956556,1.0977304035720028,16.407388408657347,167.36158835555003,2000,2024,24,25,Waist Eu KURTOSIS - Fashion Shows (female)
waist-eu_clean,iqr,advertisements,female,no trend,False,0.3061184504351484,1.0234006537528106,0.0,2.0,0.0,0.047619047619047616,0.0,0.0,2000,2024,24,25,Waist Eu IQR - Advertisements (female)
waist-eu_clean,skewness,advertisements,female,increasing,True,0.0007079791172892591,3.386470407102625,0.16152497464495247,0.18363361089812358,0.11223006251945859,0.22757658245291718,3.8765993914788592,130.86304737755222,2000,2024,24,25,Waist Eu SKEWNESS - Advertisements (female)
waist-eu_clean,kurtosis,advertisements,female,increasing,True,0.001168988918142766,3.246340597153551,0.6790134630347664,1.500515055485419,0.38162204646999864,1.1936461805252592,16.296323112834393,145.67866663393224,2000,2024,24,25,Waist Eu KURTOSIS - Advertisements (female)
waist-eu_clean,iqr,magazine_covers,female,increasing,True,0.014235034494582965,2.4512770394403796,0.03229166666666666,1.0802083333333334,0.0,0.08333333333333333,0.7749999999999999,51.66666666666666,2000,2024,24,25,Waist Eu IQR - Magazine Covers (female)
waist-eu_clean,skewness,magazine_covers,female,increasing,True,0.00029458014258532117,3.620020090351082,0.0673784035191761,1.6826246508428224,0.040636552000457064,0.09147040164062542,1.6170816844602263,63.685072826499834,2000,2024,24,25,Waist Eu SKEWNESS - Magazine Covers (female)
waist-eu_clean,kurtosis,magazine_covers,female,increasing,True,0.005448604576648863,2.779241230656637,0.4003294763914712,7.14059672811177,0.16212390260519324,0.6211495485370709,9.607907433395308,82.76592107191631,2000,2024,24,25,Waist Eu KURTOSIS - Magazine Covers (female)
waist-eu_clean,iqr,editorials,female,no trend,False,0.13277835778349667,1.5032353771749398,0.0,2.0,0.0,0.08333333333333333,0.0,0.0,2000,2024,24,25,Waist Eu IQR - Editorials (female)
waist-eu_clean,skewness,editorials,female,increasing,True,0.0035073847992901364,2.919371040605711,0.10789900193769403,1.5846296884033557,0.03704888343198145,0.18177965504372984,2.5895760465046567,78.17553640973459,2000,2024,24,25,Waist Eu SKEWNESS - Editorials (female)
