Rank,Brand,Prestige,Tier,Records,Models,% Elite,Mean MP,Median MP,Std MP
1,Vogue (American),30140.4141,Elite,5200,762,92.9134,804.6894,425.0484,1012.5478
2,Chanel,15725.6520,Elite,6471,1501,87.0087,522.1745,227.1933,792.5322
3,Dior,11433.1094,Elite,5197,1135,95.5066,534.5292,219.7272,837.9088
4,Vogue Italy,10301.2066,Elite,3040,1059,86.7800,609.9709,285.5624,883.8477
5,Versace,9738.0071,Elite,3388,1068,92.5094,614.5954,268.2998,890.6484
6,Vogue France,9339.3631,Elite,2205,659,93.4750,789.7752,393.6816,1020.6415
7,Dolce & Gabbana,8918.5530,Elite,5936,1946,75.6937,371.9847,118.8305,684.4824
8,Christian Dior,8659.4166,Elite,3929,1324,90.7855,512.7764,206.5332,814.8782
9,Valentino,8655.7536,Elite,4211,1507,88.6605,462.9022,171.7859,773.0492
10,Louis Vuitton,8311.8304,Elite,4137,1230,89.8374,525.7478,192.8795,827.0521
11,Vogue Italia,7927.2353,Elite,2676,951,94.2166,630.1522,293.8536,893.4822
12,Prada,7809.1895,Elite,3417,1206,89.6437,521.6839,186.7372,822.2991
13,Fendi,7355.1341,Elite,3195,1260,93.4972,547.5080,238.5314,820.8662
14,Givenchy,7078.3723,Elite,2926,1178,89.2282,538.9958,218.6840,846.1885
15,Vogue UK,6845.2584,Elite,1978,680,90.5882,726.8265,359.8318,997.4119
16,Michael Kors Collection,6580.0561,Elite,1986,612,98.6928,942.7485,602.9181,1018.6014
17,Marc Jacobs,6445.9974,High,2664,1026,86.4522,596.3134,239.0540,888.5483
18,British Vogue,5848.0849,High,1891,686,96.2099,700.6109,331.3123,973.5768
19,Vogue Japan,5817.5349,High,1905,728,92.3077,772.7936,403.3448,992.0228
20,Gucci,5700.3063,High,3087,1041,82.9011,487.6637,133.3966,858.8312
21,Lanvin,5700.2905,High,2163,951,94.2166,645.4499,297.7544,898.1409
22,Carolina Herrera,5555.2036,High,2117,794,93.3249,697.4919,381.5936,912.1658
23,Roberto Cavalli,5497.2703,High,1949,801,94.3820,707.3540,354.1919,943.5788
24,Moschino,5493.1342,High,2489,991,92.9364,614.4273,313.3509,839.6080
25,Oscar de la Renta,5261.5505,High,2018,772,93.0052,706.9740,377.3329,932.0125
26,Miu Miu,5208.7415,High,2479,1051,87.5357,562.3655,222.2106,865.2014
27,Vogue China,5175.3018,High,1583,534,88.3895,825.1121,359.7404,1081.1109
28,V Magazine,5125.0853,High,1963,945,88.3598,628.9661,287.9309,909.8631
29,Calvin Klein,5123.9374,High,2046,912,91.0088,617.2051,259.8259,913.3134
30,Balenciaga,5113.8541,High,2182,718,87.6045,620.2109,227.8711,950.1045
