brand,prestige,prestige_raw,prestige_scaled,prestige_percentile,prestige_zscore,record_count,tier
Vogue (American),0.030140,0.030140,30140.414055,100.000000,35.674945,5200,Elite
Chanel,0.015726,0.015726,15725.652017,99.981129,18.505774,6471,Elite
Dior,0.011433,0.011433,11433.109437,99.962257,13.393002,5197,Elite
Vogue Italy,0.010301,0.010301,10301.206592,99.943386,12.044812,3040,Elite
Versace,0.009738,0.009738,9738.007132,99.924514,11.373995,3388,Elite
Vogue France,0.009339,0.009339,9339.363086,99.905643,10.899177,2205,Elite
Dolce & Gabbana,0.008919,0.008919,8918.553021,99.886771,10.397957,5936,Elite
Christian Dior,0.008659,0.008659,8659.416613,99.867900,10.089305,3929,Elite
Valentino,0.008656,0.008656,8655.753592,99.849028,10.084942,4211,Elite
Louis Vuitton,0.008312,0.008312,8311.830375,99.830157,9.675301,4137,Elite
Vogue Italia,0.007927,0.007927,7927.235317,99.811285,9.217216,2676,Elite
Prada,0.007809,0.007809,7809.189531,99.792414,9.076614,3417,Elite
Fendi,0.007355,0.007355,7355.134051,99.773542,8.535796,3195,Elite
Givenchy,0.007078,0.007078,7078.372330,99.754671,8.206150,2926,Elite
Vogue UK,0.006845,0.006845,6845.258445,99.735799,7.928493,1978,Elite
Michael Kors Collection,0.006580,0.006580,6580.056136,99.716928,7.612615,1986,Elite
Marc Jacobs,0.006446,0.006446,6445.997374,99.698056,7.452940,2664,High
British Vogue,0.005848,0.005848,5848.084891,99.679185,6.740777,1891,High
Vogue Japan,0.005818,0.005818,5817.534930,99.660313,6.704389,1905,High
Gucci,0.005700,0.005700,5700.306258,99.641442,6.564760,3087,High
Lanvin,0.005700,0.005700,5700.290468,99.622570,6.564741,2163,High
Carolina Herrera,0.005555,0.005555,5555.203643,99.603699,6.391931,2117,High
Roberto Cavalli,0.005497,0.005497,5497.270341,99.584827,6.322927,1949,High
Moschino,0.005493,0.005493,5493.134212,99.565956,6.318001,2489,High
Oscar de la Renta,0.005262,0.005262,5261.550502,99.547084,6.042166,2018,High
Miu Miu,0.005209,0.005209,5208.741495,99.528213,5.979266,2479,High
Vogue China,0.005175,0.005175,5175.301838,99.509341,5.939436,1583,High
V Magazine,0.005125,0.005125,5125.085317,99.490470,5.879624,1963,High
Calvin Klein,0.005124,0.005124,5123.937431,99.471598,5.878257,2046,High
Balenciaga,0.005114,0.005114,5113.854052,99.452727,5.866247,2182,High
Balmain,0.005011,0.005011,5010.672000,99.433855,5.743349,2339,High
Jean Paul Gaultier,0.004943,0.004943,4943.199544,99.414984,5.662983,2061,High
Proenza Schouler,0.004938,0.004938,4937.691770,99.396112,5.656423,1658,High
Max Mara,0.004862,0.004862,4861.965089,99.377241,5.566227,1777,High
Saint Laurent,0.004850,0.004850,4849.761633,99.358370,5.551691,1982,High
Alexander McQueen,0.004850,0.004850,4849.611699,99.339498,5.551513,1975,High
Missoni,0.004831,0.004831,4831.434211,99.320627,5.529862,2252,High
Stella McCartney,0.004801,0.004801,4800.916431,99.301755,5.493513,1586,High
Bottega Veneta,0.004772,0.004772,4772.494202,99.282884,5.459659,2124,High
Etro,0.004731,0.004731,4731.289610,99.264012,5.410581,2109,High
Alberta Ferretti,0.004648,0.004648,4647.901313,99.245141,5.311259,1898,High
W,0.004614,0.004614,4614.003038,99.226269,5.270883,1230,High
Michael Kors,0.004514,0.004514,4513.913206,99.207398,5.151668,1293,High
W Magazine,0.004498,0.004498,4498.231428,99.188526,5.132990,1438,High
Anna Sui,0.004457,0.004457,4456.841692,99.169655,5.083691,1283,High
Hermès,0.004428,0.004428,4427.930583,99.150783,5.049256,2594,High
H&M,0.004285,0.004285,4284.520173,99.131912,4.878442,1527,High
Numéro France,0.004280,0.004280,4280.127019,99.113040,4.873209,1590,High
Ralph Lauren,0.004262,0.004262,4262.473838,99.094169,4.852183,1829,High
Isabel Marant,0.004137,0.004137,4137.234847,99.075297,4.703013,1377,High
Alexander Wang,0.004132,0.004132,4131.777077,99.056426,4.696512,1378,High
Tommy Hilfiger,0.003978,0.003978,3978.244842,99.037554,4.513643,1777,High
Burberry,0.003830,0.003830,3829.861995,99.018683,4.336907,2013,High
Vogue Russia,0.003798,0.003798,3797.700948,98.999811,4.298600,1509,High
Celine,0.003752,0.003752,3752.487201,98.980940,4.244747,1636,High
Victoria's Secret,0.003715,0.003715,3715.142427,98.962068,4.200266,1621,High
Jil Sander,0.003655,0.003655,3654.776529,98.943197,4.128365,2033,High
Sonia Rykiel,0.003654,0.003654,3654.001350,98.924325,4.127442,1442,High
Chloé,0.003644,0.003644,3644.275601,98.905454,4.115858,1325,High
Salvatore Ferragamo,0.003585,0.003585,3585.279855,98.886582,4.045589,1378,High
i-D,0.003501,0.003501,3501.359073,98.867711,3.945633,1037,High
Loewe,0.003476,0.003476,3476.060343,98.848839,3.915500,1834,High
Emilio Pucci,0.003463,0.003463,3462.554508,98.829968,3.899413,1188,High
Vogue Germany,0.003440,0.003440,3439.870175,98.811096,3.872394,1296,High
Kenzo,0.003436,0.003436,3436.339900,98.792225,3.868189,2246,High
John Galliano,0.003433,0.003433,3433.333629,98.773353,3.864609,1439,High
Elie Saab,0.003407,0.003407,3407.438839,98.754482,3.833766,1924,High
Nina Ricci,0.003402,0.003402,3401.594297,98.735610,3.826804,1508,High
Chloe,0.003258,0.003258,3258.188473,98.716739,3.655996,1092,High
Vogue Spain,0.003204,0.003204,3204.196918,98.697868,3.591688,1211,High
i-D Magazine,0.003184,0.003184,3183.804908,98.678996,3.567399,1232,High
Donna Karan,0.003080,0.003080,3080.499073,98.660125,3.444354,818,High
Narciso Rodriguez,0.003062,0.003062,3061.925578,98.641253,3.422231,971,High
D&G,0.003031,0.003031,3030.575543,98.622382,3.384891,1183,High
Jason Wu,0.003024,0.003024,3023.890637,98.603510,3.376928,1234,High
Ferragamo,0.003012,0.003012,3011.945268,98.584639,3.362700,1371,High
Marni,0.002995,0.002995,2995.421322,98.565767,3.343019,1552,High
Blumarine,0.002991,0.002991,2990.859178,98.546896,3.337585,1441,High
