node,x,y,node_type,centrality
model_00001,1.581687,39.114643,model,0.001042
Amaya Arzuaga,7.733034,38.395817,brand,0.003742
Angelo Marani,1.911956,23.119995,brand,0.007863
Anthony Vaccarello,-12.922105,1.69478,brand,0.009379
Band of Outsiders,7.130603,45.327335,brand,0.005637
Cacharel,-5.464431,10.944513,brand,0.007105
Collette Dinnigan,15.934646,-82.864029,brand,0.001705
Commuun,6.134411,41.89957,brand,0.002321
Cushnie et Ochs,2.652331,22.241125,magazine,0.01009
Dennis Basso,-25.148182,46.240917,brand,0.012695
Doo.Ri,2.88329,36.800804,brand,0.005163
Ermanno Scervino,-22.336128,-1.571472,magazine,0.027995
Just Cavalli,-4.583227,14.763557,brand,0.012363
Karen Walker,24.568769,28.803719,brand,0.004974
Luca Luca,2.975884,46.152328,brand,0.002463
Marchesa,-1.499478,39.676281,brand,0.013737
Nahm,5.122909,53.563858,brand,0.000616
Nicholas K,-3.702149,43.346935,brand,0.007768
Sophie Theallet,-0.097301,27.421541,brand,0.008242
Ter et Bantine,-0.165447,34.115974,brand,0.005068
Theory,-7.720039,9.244687,magazine,0.011416
Tibi,-13.019706,36.0299,magazine,0.018758
Tory Burch,-27.80805,-37.669758,magazine,0.023542
model_00002,-43.536087,-38.014206,model,0.000758
Dsquared2,-64.213081,23.226311,magazine,0.021363
Gabriela Hearst,-37.267147,-19.440556,brand,0.013547
Max Mara,-39.583317,-29.653679,magazine,0.031121
DSquared2,-63.725048,23.321329,brand,0.021695
model_00003,-31.289127,-5.41655,model,0.008763
Peter Pilotto,-7.567183,16.515993,magazine,0.017005
Anya Hindmarch,-14.807841,25.526363,brand,0.002984
Bernard Chandran,23.19244,48.015423,brand,0.000379
Bottega Veneta,-66.405319,-17.100424,magazine,0.033916
Burberry,-36.04879,-44.831779,magazine,0.033253
Celine,-30.412653,-7.753282,brand,0.023684
Chloé,-41.385651,-40.589035,magazine,0.022311
Eudon Choi,-40.020645,10.086336,brand,0.009474
Gucci,-62.863556,10.992515,magazine,0.039316
Isa Arfen,20.77791,20.323166,brand,0.000426
J.W. Anderson,-58.367718,-19.418324,magazine,0.024442
Joseph,-12.842311,-15.0914,magazine,0.006537
Loewe,-57.148262,-20.678724,magazine,0.033726
