year,pc1,pc2,pc3,pc4
2000,0.373182,-0.298231,0.541997,-0.167587
2001,0.243706,-0.351009,0.504175,-0.198479
2002,0.218588,-0.352450,0.495925,-0.204288
2003,0.294501,-0.240730,0.507682,-0.197681
2004,0.309622,-0.218725,0.449099,-0.196435
2005,0.237657,-0.177746,0.424105,-0.166050
2006,0.130529,-0.191000,0.333482,-0.127361
2007,0.083709,-0.120132,0.233150,-0.082312
2008,0.058886,-0.037639,0.167998,-0.076900
2009,0.079438,0.014891,0.082405,-0.066182
2010,-0.030082,-0.011518,0.052526,-0.016460
2011,0.018944,0.051052,-0.002424,0.005398
2012,-0.033359,0.066275,-0.021521,0.026333
2013,-0.000325,0.013818,-0.047231,0.012147
2014,-0.052774,0.060921,-0.100956,-0.010001
2015,-0.104458,0.106595,-0.156030,-0.003618
2016,-0.143750,0.088623,-0.132722,0.025080
2017,-0.140665,0.031373,-0.105517,0.014400
2018,-0.098517,-0.102590,-0.140144,0.059347
2019,-0.334292,0.094271,-0.307322,0.077709
2020,-0.197501,0.135258,-0.291407,0.157596
2021,0.175447,-0.112513,-0.268738,0.205347
2022,0.046594,0.157849,-0.314081,0.246452
2023,0.215217,0.271638,-0.274107,0.272812
2024,0.151598,0.109557,-0.316724,0.189517
