pc1,pc2
0.347681,-1.172704
-0.891046,0.233733
0.027887,1.057170
-0.294767,0.526882
-1.222719,0.595295
0.756060,0.895730
-0.053964,-0.404667
-0.163024,0.696160
-0.460603,0.707663
0.128792,-1.580171
-1.421529,0.705535
-1.055763,-0.006087
0.437432,-0.182117
0.401402,0.498166
-2.095582,-0.465383
3.009284,2.522914
0.834901,0.221271
-0.629299,-2.240097
-0.331766,1.003899
-0.248848,0.913508
-1.065751,0.682498
2.778469,2.765878
-0.552442,-0.065589
4.155204,-0.596798
-1.426373,0.425960
-0.150797,-0.833627
0.117835,-0.726474
-0.908986,0.261941
-1.951814,-1.596895
0.056882,-1.211850
0.476368,-0.252602
0.644675,-1.204839
0.567238,0.317385
-0.000093,0.642336
-1.253605,0.307419
-1.000924,1.244183
1.383249,0.401573
0.313589,-0.085889
-0.230757,0.261433
-1.476369,-0.544734
0.165743,0.461555
-0.013091,-0.805375
-0.000070,-0.801224
0.337392,0.763615
-0.727298,1.007043
0.003932,0.094778
-1.122632,-2.500801
-0.629299,-2.240097
-0.688362,0.199802
3.982803,3.693990
0.600212,0.387926
-0.039133,-0.813677
-0.482470,-0.472065
3.808596,-1.352724
-0.024047,-0.320057
-0.358626,0.168464
0.150225,0.261172
-0.023079,-0.116790
-0.391600,0.097922
0.989269,-1.045878
-0.130868,-0.060432
-0.765167,-0.474701
-0.945886,-1.016536
-0.231726,-0.310211
-0.671339,1.099955
-0.054933,-0.607933
0.266601,0.342956
-0.258737,-0.153401
1.231402,0.421393
0.682110,-0.300601
-0.084464,0.427828
-1.293510,0.174637
2.629444,-0.446121
0.669065,0.402052
0.272564,0.201930
2.710152,3.248256
-0.961988,0.436942
-0.040920,-1.844077
-1.254573,0.104153
0.309563,-0.275087
-0.187946,0.267257
0.032881,0.712878
-0.559374,-0.127829
0.476368,-0.252602
-1.006938,0.253582
-0.425542,0.192492
0.050261,0.894970
0.852992,-0.430804
-0.380643,-0.387397
-0.655238,-0.353523
1.872096,0.769776
0.799022,0.277687
-0.956025,0.295916
-2.221462,0.243051
0.690160,-1.395719
-0.488583,0.292829
1.231402,0.421393
0.739672,-0.526657
0.357519,-1.237422
0.066870,-1.900435
5.692414,3.022390
-0.789220,0.318401
-2.068670,1.501680
-1.018916,-0.595993
-0.165929,0.823117
-0.349757,-0.099521
0.428215,4.220722
-0.234782,0.808992
-0.107450,-0.331299
7.125024,-2.983857
-0.522375,-0.604846
0.539258,-0.097450
0.872869,-0.052480
-0.506523,0.321037
-0.810117,-0.658061
0.871900,-0.255746
-0.091932,-0.130916
0.404458,0.115719
-0.219800,-0.223886
0.831995,0.348229
-0.836056,0.860135
2.297362,-0.866503
-1.232557,0.660013
-1.561173,0.270751
-0.377685,0.617272
0.872869,-0.052480
-0.424573,0.027380
0.220583,1.711824
0.008926,-0.249515
0.317030,0.283657
1.735843,-0.058711
0.567238,0.317385
-0.548492,-0.301215
0.539160,1.658044
-0.978959,0.668416
-0.455609,0.363371
2.403313,-2.716510
0.476171,3.258387
0.401402,0.498166
1.464154,0.584961
-0.133925,0.690393
-0.696111,0.047185
-1.062361,0.657174
0.487226,0.649195
-0.608349,0.236369
0.332549,0.484040
-0.977407,-0.782179
-0.558405,0.075437
-0.952921,-1.868518
0.593280,0.325686
-0.023079,-0.116790
-0.256799,0.253131
0.165743,0.461555
-0.832181,0.936444
-1.833012,1.538290
-0.281722,-0.912528
-0.091932,-0.130916
-0.644281,-0.838842
-0.599429,1.100012
0.190713,-1.259907
-1.813854,-0.666013
-0.895072,0.781292
-1.467858,-0.094658
-0.231726,-0.310211
-0.058958,-0.060374
0.266601,0.342956
1.774930,-0.753062
-0.850121,0.964652
0.037875,0.368586
-1.454352,0.011126
0.502260,0.379567
0.631248,0.051936
0.541196,0.309083
1.604583,-0.494734
-2.343368,0.009055
5.299657,2.312458
-1.476369,-0.544734
0.479425,-1.003427
0.566269,0.114118
0.342537,-0.204545
-0.466566,0.848689
-2.560067,0.542374
0.009895,-0.046249
0.401402,0.498166
4.059707,2.981377
-0.178776,-1.248461
1.132632,0.322657
-0.022110,-0.281902
10.979731,-7.084541
-0.923536,0.264824
2.000600,-0.027867
-1.169666,0.815165
-0.023079,-0.116790
-2.393797,0.068355
-0.950984,-2.198742
0.338050,-1.202180
-0.424573,0.027380
0.681141,-0.503867
0.314557,-0.619379
1.998662,-0.434399
-1.991719,-1.729677
-0.978860,-1.087078
-1.020035,0.561364
-1.164672,0.470873
0.063917,0.376887
-0.152885,-0.616292
0.572232,-0.026908
-1.622079,-2.364990
4.117321,3.518570
0.856918,0.777131
0.292540,-1.175240
-0.234782,0.808992
-0.091932,-0.130916
0.577226,-0.371200
0.872869,-0.052480
0.637060,0.534776
-0.488583,0.292829
-1.683079,0.036755
0.577226,-0.371200
-1.158860,0.953714
-0.628377,0.481912
1.597092,0.021705
0.577226,-0.371200
-0.708187,0.953105
-1.561173,0.270751
-2.560067,0.542374
-0.425542,-0.175886
0.092813,-0.136639
-0.357173,0.473363
0.289634,-1.048282
0.469286,1.045782
0.266601,0.342956
-0.596372,0.349187
0.165743,0.461555
0.502260,0.379567
1.189992,-0.042781
-0.548492,-0.301215
-0.006008,-1.367002
0.082773,-0.579682
-0.574459,-0.621450
-0.187946,0.267257
-0.029140,1.779730
-0.516511,1.009622
0.249578,-0.557197
4.059707,2.981377
-0.954906,-0.124685
-0.810117,-0.658061
0.165743,0.461555
-0.355720,0.041506
-0.187946,0.267257
0.443395,-0.323144
-1.094700,0.064398
0.867875,0.291813
0.032881,0.712878
0.272564,0.201930
-1.147602,-0.779339
-2.002676,-1.244358
3.998189,2.203120
-0.832181,0.936444
-0.799160,-1.143379
-2.033712,-0.908368
-1.144696,-0.906297
-0.488432,-0.331038
-0.956025,0.295916
-0.810117,-0.658061
0.734043,0.339869
-0.342751,-0.717592
0.351457,0.659098
0.272564,0.201930
-0.386606,-0.246371
-0.091932,-0.130916
-0.061431,-0.963411
-0.696111,0.047185
-0.038061,0.916087
-1.808042,-0.183172
-0.000046,-1.876407
0.989269,-1.045878
4.038917,3.584119
-0.058958,-0.060374
0.571263,-0.230174
6.691741,2.089151
0.309563,-0.275087
-1.113660,-1.242287
0.031912,0.509612
-0.349607,-0.723388
-0.506523,0.321037
-1.023759,-0.138811
2.336147,-0.313121
1.524139,0.867071
-0.175871,-1.375419
-0.693976,-3.057271
-0.175871,-1.375419
0.502260,0.379567
-0.028073,0.227502
-0.187946,0.267257
0.817394,-0.412137
0.165743,0.461555
0.165743,0.461555
-1.396940,0.777316
-0.687242,-0.220799
0.153282,-0.121275
0.229551,0.056724
-0.363771,1.136623
-1.051889,0.070222
-0.391600,0.097922
0.116307,-0.719440
2.778469,2.765878
-0.091932,-0.130916
0.674642,-1.227723
-0.283953,0.107760
-1.075791,0.239456
-0.850022,-0.790842
-0.349757,-0.099521
-0.561461,0.826262
0.668096,0.198786
-0.438638,0.131896
0.872869,-0.052480
-1.186689,-0.084988
0.276740,-0.969496
-1.892846,0.632313
-0.018085,-0.461083
0.641236,-0.636649
0.567238,0.317385
0.539160,1.658044
3.308482,-3.036291
-0.166898,0.619851
-0.939924,-1.157563
-0.473450,-1.363916
