year,pc1,pc2,pc3,pc4
2000,0.226345,-0.288148,0.501855,-0.272254
2001,0.111357,-0.322383,0.476569,-0.276592
2002,0.091275,-0.325589,0.467596,-0.277591
2003,0.166393,-0.235762,0.456245,-0.287339
2004,0.180762,-0.228863,0.400845,-0.279407
2005,0.124476,-0.185296,0.379511,-0.251209
2006,0.022958,-0.194162,0.317446,-0.198006
2007,-0.013404,-0.138130,0.229597,-0.148770
2008,0.005893,-0.071803,0.172895,-0.134490
2009,0.044458,-0.052758,0.109550,-0.101956
2010,-0.027835,-0.053756,0.093650,-0.052573
2011,0.000177,-0.013652,0.039712,-0.031480
2012,-0.064668,0.004949,0.017429,-0.015784
2013,-0.027483,-0.036162,0.003684,-0.010009
2014,-0.052266,-0.016507,-0.044766,-0.022102
2015,-0.093303,0.027581,-0.097221,-0.006047
2016,-0.108705,0.020521,-0.069527,0.014438
2017,-0.095959,0.019090,-0.072205,0.037777
2018,-0.055773,0.000989,-0.090649,0.091672
2019,-0.175985,0.127071,-0.202190,0.113030
2020,-0.058188,0.134994,-0.197360,0.155486
2021,0.243647,0.044697,-0.182879,0.201978
2022,0.158724,0.188043,-0.224666,0.217592
2023,0.252187,0.250857,-0.214339,0.212601
2024,0.201442,0.195154,-0.237159,0.184007
